delivery_price,delivery_rating,name,no_of_review,price,rating,seller,seller_rating,stock
1.0,91.0,"Ingco New 115 Piece Home Tool Set With 680 Watt 13mm Impact Corded Electric Drill, Screwdrivers",1.0,1.0,0.0,Ingco,92.0,15.0
122.0,79.0,The Psychology Of Money+Ikigai+The Subtle Art Of Not Giving+Atomic Habits l 4 Books Best Seller,122.0,122.0,5.0,Sasto Ma Book,86.0,15.0
41.0,100.0,Kingston A400 Internal SSD 2.5 128Gb/256Gb/512Gb SATA 3,41.0,41.0,5.0,Login Soltion Pvt Ltd,83.0,1.0
230.0,79.0,It Start With Us + It End With Us (Bestseller Combo),230.0,230.0,4.4,Sasto Ma Book,86.0,15.0
246.0,79.0,The Power Of Your Subconscious Mind By Joseph Murphy,246.0,246.0,4.1,Sasto Ma Book,86.0,1.0
198.0,79.0,Psychology Of Money Morgan Housel,198.0,198.0,4.8,Sasto Ma Book,86.0,15.0
275.0,79.0,Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,275.0,275.0,4.8,Sasto Ma Book,86.0,2.0
34.0,100.0,Casio Stainless Steel Digital Watch For Men A158WA-1DF,34.0,34.0,4.8,HOURGLASS,89.0,1.0
15.0,100.0,Monster Trucks Inertia Car Toys For Kids | 360 Degree Stunt Flip Design 4 Wheel Drive Toy Car For Kids,15.0,15.0,4.8,Nepal Toys Store,78.0,1.0
52.0,97.0,650ml Cleaner Multi-Purpose Bubble Spray Foam for Kitchen Grease Bubble Cleaner Kitchen,52.0,52.0,0.0,Flash Sale,81.0,15.0
81.0,100.0,Baby Try Cycle With Push Handle,81.0,81.0,0.0,Forever kids,72.0,15.0
124.0,94.0,Handy Sized Bento Thermal Aluminum Insulated Lunch/Cover/Tiffin Bag With Outer Pouch Size 21*14cm*20cm,124.0,124.0,0.0,A&A Readymade,87.0,15.0
35.0,100.0,Sara Foods Beet Root Powder - 125gm,35.0,35.0,4.4,Sara Foods,88.0,15.0
24.0,93.0,Optimum Nutrition Gold Standard 100% Whey 2lbs Chocolate Flavor Primary Source Isolate Protein Powder,24.0,24.0,4.3,MuscleBlaze,92.0,10.0
76.0,100.0,INGCO 1200W High Pressure Washer with Aluminium Wire Motor and Auto Stop System HPWR12008,76.0,76.0,3.2,INGCO store,91.0,1.0
1159.0,92.0,Dr jk4 Vitamin C Collagen Sunscreen SPF 50+/+++200ml,1159.0,1159.0,3.2,Secret Island,91.0,1.0
161.0,96.0,Adjustable Wristband Elastic Wrist Wraps Bandages For Weightlifting (Color Varied) - Wrist Wrappers |,161.0,161.0,3.2,Nutrishop Nepal ,93.0,15.0
31.0,100.0,Chamomile Tea For Insomnia and Immunity - Nepal Tea Exchange - 16g Jar,31.0,31.0,4.2,Nepal Tea Exchange,93.0,15.0
18.0,100.0,QQ Lunch Box-800 Ml,18.0,18.0,4.2,Aryan Enterprises,81.0,15.0
6.0,91.0,Ingco High Pressure Washer 1400W 130bar - HPWR14008 | Multipurpose Electric Powered HIgh Pressure Washer,6.0,6.0,4.2,Ingco,92.0,1.0
903.0,100.0,Packaging Material - Bubble Wrap (10mtr),903.0,903.0,4.0,Scommerce,76.0,0.0
929.0,100.0,Packaging Material - Brown Wrapping Paper - 10 M,929.0,929.0,3.6,Scommerce,76.0,0.0
1671.0,100.0,Packaging Material - Bundle of 25 Flyers (6.5  x 8 ),1671.0,1671.0,4.2,Scommerce,76.0,0.0
222.0,100.0,"Packaging Material – Bundle of 25 Flyers (16"" x 20"")",222.0,222.0,4.2,Scommerce,76.0,1.0
153.0,100.0,Packaging Material – Shrink Wrap,153.0,153.0,4.2,Scommerce,76.0,1.0
311.0,100.0,"Packaging Material – Bundle of 25 Flyers (14"" x 18"")",311.0,311.0,4.2,Scommerce,76.0,1.0
1002.0,100.0,"Packaging Material - Bundle of 25 Flyers (8"" x 10"")",1002.0,1002.0,4.2,Scommerce,76.0,0.0
1179.0,100.0,Packaging Material - Bundle of 25 Flyers (10  x 12 ),1179.0,1179.0,3.6,Scommerce,76.0,0.0
725.0,100.0,"Packaging Material – Bundle of 25 Flyers (16"" x 12"")",725.0,725.0,3.6,Scommerce,76.0,0.0
141.0,100.0,"Packaging Material - Bundle of 10 Boxes (13.5"" x 10"" x 4.8"")",141.0,141.0,3.6,Scommerce,76.0,1.0
5.0,0.0,Chest Drawers.,5.0,5.0,4.8,Basement,0.0,1.0
64.0,99.0,Spn'S 6Mm Thick Double Color Anti-Slip Tpe Yoga Mat | Eco Friendly Lightweight Waterproof & Antiskid Yoga Mat,64.0,64.0,3.1,SPN'S,90.0,10.0
277.0,100.0,Designer Velvet King Size Quilt ( Sirak) For Minus Degree Celsius,277.0,277.0,4.2,Home Essentials,75.0,15.0
759.0,33.0,"Cetaphil Daily Advance Ultra Hydrating Lotion for Dry/Sensitive Skin 100gm, Long Lasting Moisturizer for Face & Body",759.0,759.0,4.6,Cetaphil,92.0,0.0
24.0,100.0,"Nature's Care Set Of 2 Food Supplements, Fish Oil 1000mg Omega 3, 200 Capsules & Multivitamin 120 Tablets",24.0,24.0,4.6,Nature's  Care,95.0,1.0
